Term,Definition,Category,Example
Priority Inversion,Low-priority task holds lock needed by high-priority task,Synchronization,"Mars Pathfinder bug"
CPU Utilization,Percentage of time CPU is busy,Scheduling,"Keep CPU as busy as possible"
Throughput,Number of processes completed per time unit,Scheduling,"Jobs per hour"
Turnaround Time,Time from process submission to completion,Scheduling,"Total time in system"
Waiting Time,Time process spends waiting in ready queue,Scheduling,"Time waiting for CPU"
Response Time,Time from submission until first response,Scheduling,"Important for interactive systems"
FCFS (First-Come First-Served),Non-preemptive scheduling; processes in arrival order,Scheduling,"Simple FIFO queue"
SJF (Shortest Job First),Non-preemptive; schedule shortest next CPU burst first,Scheduling,"Optimal for minimum average waiting time"
Round Robin,Preemptive scheduling with time quantum,Scheduling,"Each process gets q time units"
Priority Scheduling,Schedule highest priority process first,Scheduling,"Lower number = higher priority typically"
Rate-Monotonic Scheduling,Real-time scheduling for periodic tasks; shorter period = higher priority,Scheduling,"U ≤ n(2^(1/n) - 1)"
EDF (Earliest Deadline First),Dynamic priority; earlier deadline = higher priority,Scheduling,"Can achieve 100% CPU utilization"
Deadlock,Set of processes waiting for events that only other processes in set can cause,Deadlocks,"Circular wait condition"
Mutual Exclusion (Deadlock),At least one resource must be non-sharable,Deadlocks,"Printer, tape drive"
Hold and Wait,Process holding resource waits for additional resource,Deadlocks,"Process has printer, wants scanner"
No Preemption,Resources cannot be preempted,Deadlocks,"Cannot take resource away from process"
Circular Wait,Circular chain of processes waiting for resources,Deadlocks,"P1 waits for P2, P2 waits for P1"
Resource-Allocation Graph,Graph showing processes, resources, and request/assignment edges,Deadlocks,"Visual representation of deadlock"
Deadlock Prevention,Prevent one of four necessary conditions,Deadlocks,"Impose resource ordering"
Deadlock Avoidance,Require system to always be in safe state,Deadlocks,"Banker's algorithm"
Deadlock Detection,Allow deadlock, detect it, then recover,Deadlocks,"Periodic detection algorithm"
Banker's Algorithm,Deadlock avoidance algorithm for multiple resource instances,Deadlocks,"Check if allocation leaves safe state"
Logical Address,Address generated by CPU; virtual address,Memory Management,"Address in program"
Physical Address,Address seen by memory unit,Memory Management,"Actual memory location"
MMU (Memory Management Unit),Hardware that maps logical to physical addresses,Memory Management,"Performs address translation"
Base Register,Starting physical address for process,Memory Management,"Used with limit register for protection"
Limit Register,Size of logical address space,Memory Management,"Used with base register for protection"
Dynamic Loading,Routine not loaded until called,Memory Management,"Better memory utilization"
Dynamic Linking,Linking postponed until execution time,Memory Management,"Shared libraries"
Swapping,Process swapped out of memory to backing store,Memory Management,"Free up memory for other processes"
First Fit,Allocate first hole large enough,Memory Management,"Fast allocation"
Best Fit,Allocate smallest hole large enough,Memory Management,"Minimizes waste"
Worst Fit,Allocate largest hole,Memory Management,"Leaves large remaining holes"
Internal Fragmentation,Memory allocated but not used within allocated block,Memory Management,"Waste within page"
External Fragmentation,Enough total memory but not contiguous,Memory Management,"Holes between allocated blocks"
Compaction,Shuffle memory to place all free memory together,Memory Management,"Requires dynamic relocation"
Page,Fixed-size block of logical memory,Virtual Memory,"Typically 4KB"
Frame,Fixed-size block of physical memory,Virtual Memory,"Same size as page"
Page Table,Data structure mapping page numbers to frame numbers,Virtual Memory,"One per process"
TLB (Translation Lookaside Buffer),Fast cache for page table entries,Virtual Memory,"Reduces memory accesses"
Page Fault,Reference to page not in memory,Virtual Memory,"Trap to OS, load page"
Demand Paging,Bring page into memory only when needed,Virtual Memory,"Lazy loading"
FIFO Page Replacement,Replace oldest page,Virtual Memory,"Simple but may replace frequently used"
Optimal Page Replacement,Replace page that will not be used for longest time,Virtual Memory,"Theoretical optimal"
LRU (Least Recently Used),Replace page not used for longest time,Virtual Memory,"Good approximation of optimal"
Working Set,Set of pages used in most recent Δ references,Virtual Memory,"Approximation of locality"
Thrashing,Process spends more time paging than executing,Virtual Memory,"Insufficient frames"
File,Named collection of related information,File Systems,"Document, program, data"
Directory,File containing list of files and subdirectories,File Systems,"Organizes files hierarchically"
Inode,Data structure containing file metadata,File Systems,"UNIX file system"
Contiguous Allocation,File occupies contiguous blocks,File Systems,"Simple but external fragmentation"
Linked Allocation,File is linked list of blocks,File Systems,"No external fragmentation, sequential access"
Indexed Allocation,File has index block with pointers to data blocks,File Systems,"Supports direct access"
Bit Vector,Each block represented by bit for free-space management,File Systems,"1 = free, 0 = allocated"
VFS (Virtual File System),Object-oriented interface to multiple file system types,File Systems,"Allows same interface for different FS"
Block Device,Device that stores information in fixed-size blocks,I/O,"Hard disk, SSD"
Character Device,Device that provides stream of characters,I/O,"Keyboard, printer"
Device Controller,Hardware component between device and computer,I/O,"Disk controller, network controller"
Memory-Mapped I/O,I/O registers mapped into memory address space,I/O,"Access like memory"
Port-Mapped I/O,I/O registers accessed via special port numbers,I/O,"Special IN/OUT instructions"
Polling,CPU repeatedly checks device status,I/O,"Busy waiting for I/O"
Interrupt-Driven I/O,Device interrupts CPU when I/O complete,I/O,"More efficient than polling"
Device Driver,Device-specific code that controls hardware,I/O,"Translates OS requests to device commands"
Disk Scheduling,Algorithm to order disk I/O requests,I/O,"Minimize seek time"
SSTF (Shortest Seek Time First),Schedule request with minimum seek time,I/O,"Better than FCFS but may starve"
SCAN (Elevator Algorithm),Disk arm moves from one end to other servicing requests,I/O,"Uniform wait time"
C-SCAN,Like SCAN but returns to beginning without servicing,I/O,"More uniform than SCAN"
C-LOOK,Version of C-SCAN that only goes to last request,I/O,"Most efficient SCAN variant"
RAID (Redundant Array of Independent Disks),Multiple disks for performance and/or reliability,I/O,"RAID 0: striping, RAID 1: mirroring"
